area_id,KG
2,108
3,183
4,194
5,205
6,216
7,227
8,238
9,249
10,0
11,9
12,20
13,31
14,42
15,53
16,64
17,75
18,86
19,97
20,109
21,120
22,131
23,142
24,153
25,164
26,175
27,180
28,181
29,182
30,184
31,185
32,186
33,187
34,188
35,189
36,190
37,191
38,192
39,193
40,195
41,196
42,197
43,198
44,199
45,200
46,201
47,202
48,203
49,204
50,206
51,207
52,208
53,209
54,210
55,211
56,212
57,213
58,214
59,215
60,217
61,218
62,219
63,220
64,221
65,222
66,223
67,224
68,225
69,226
70,228
71,229
72,230
73,231
74,232
75,233
76,234
77,235
78,236
79,237
80,239
81,240
82,241
83,242
84,243
85,244
86,245
87,246
88,247
89,248
90,250
91,251
92,252
93,253
94,254
95,255
96,256
97,257
98,258
99,259
100,1
101,2
102,3
105,4
106,5
107,6
108,7
109,8
110,10
111,11
112,12
113,13
114,14
115,15
116,16
117,17
118,18
119,19
120,21
121,22
122,23
123,24
124,25
125,26
126,27
127,28
128,29
129,30
130,32
131,33
132,34
133,35
134,36
135,37
136,38
137,39
138,40
139,41
140,43
141,44
142,45
143,46
144,47
145,48
146,49
147,50
148,51
149,52
150,54
151,55
152,56
153,57
154,58
155,59
156,60
157,61
158,62
159,63
160,65
161,66
162,67
163,68
164,69
165,70
166,71
167,72
168,73
169,74
170,76
171,77
172,78
173,79
174,80
175,81
176,82
177,83
178,84
179,85
180,87
181,88
182,89
183,90
184,91
185,92
186,93
187,94
188,95
189,96
190,98
191,99
192,100
193,101
194,102
195,103
196,104
197,105
198,106
199,107
200,110
201,111
202,112
203,113
204,114
205,115
206,116
207,117
208,118
209,119
210,121
211,122
212,123
213,124
214,125
215,126
216,127
217,128
218,129
219,130
220,132
221,133
222,134
223,135
224,136
225,137
226,138
227,139
228,140
229,141
230,143
231,144
232,145
233,146
234,147
235,148
236,149
237,150
238,151
239,152
240,154
241,155
242,156
243,157
244,158
245,159
246,160
247,161
248,162
249,163
250,165
251,166
252,167
253,168
254,169
255,170
256,171
257,172
258,173
259,174
260,176
261,177
262,178
263,179
