POI_id,KG_id
55,115250
59,118662
61,119035
166,98994
167,98998
169,99000
387,108214
399,108273
403,108303
419,108825
420,108888
424,109075
450,109683
466,109903
484,111396
492,112164
511,114149
606,119007
635,120988
665,122454
754,123757
841,124476
1109,68230
1214,98487
1266,98544
1280,98550
1508,98783
2703,102721
3495,107692
7963,124316
8549,124590
8578,124629
8960,124803
9076,124846
9481,125147
10524,63570
10648,64272
11681,85090
11881,96734
12897,98557
13172,98611
13221,98659
14160,98732
15335,98805
15615,98832
15634,98842
15823,98959
16903,99001
18153,99595
18849,100432
19031,100728
20846,101555
21415,101901
22609,102046
22615,102047
23802,102238
24118,102290
24125,102299
24126,102300
24128,102302
24179,102350
24490,102398
24683,102435
26101,102582
27947,102971
28678,103721
29069,104119
29426,104449
31350,105784
32413,106346
32787,106720
32816,106770
35534,107894
42865,109209
42884,109212
47904,110871
48066,111025
50839,114139
57693,118024
91246,124864
147227,98753
159144,98970
161258,98983
179666,99153
179682,99169
179735,99218
179764,99245
179779,99258
179784,99263
179818,99294
179902,99374
179920,99392
179934,99406
179952,99423
179960,99431
179972,99443
179978,99449
180005,99476
180015,99486
180106,99574
180112,99580
183411,99696
183422,99707
183785,99739
183932,99788
184338,99808
184372,99840
184435,99902
184473,99918
184582,99965
184919,100022
185408,100034
185532,100155
185546,100169
185550,100173
185589,100209
185622,100242
186064,100286
186988,100340
189246,100640
189270,100663
189448,100697
189695,100702
193512,100780
194850,100915
195707,100924
196904,100936
196920,100939
196930,100941
198786,100971
199959,101118
199988,101147
200026,101184
200122,101281
200203,101297
200323,101303
200567,101311
200595,101312
201025,101318
201545,101324
202262,101335
202303,101337
202538,101363
203049,101370
203574,101381
203678,101386
203700,101387
203754,101396
203869,101400
204514,101404
204773,101414
205071,101425
205090,101427
205177,101431
205708,101497
206194,101507
206312,101509
206348,101512
206590,101520
206631,101522
208251,101548
213077,101704
213217,101733
213434,101746
213498,101752
213667,101799
213693,101808
213753,101817
213868,101832
213909,101843
214119,101888
216325,101931
216422,101938
216486,101941
216490,101942
216495,101945
217316,101983
229362,102087
230835,102173
236810,102209
238488,102241
245778,102407
253739,102493
259409,102572
262010,102609
277616,102925
277722,102937
280215,102990
280293,103031
280738,103139
280793,103163
280809,103172
281908,103214
285504,103446
285506,103448
285538,103475
285570,103506
286224,103560
286254,103588
286290,103618
286341,103656
286346,103660
286350,103664
286360,103674
286922,103730
286936,103740
287189,103857
288172,103893
288594,103965
288598,103969
288987,104032
288991,104033
289171,104092
290939,104192
290942,104195
290943,104196
291063,104286
291167,104303
291624,104332
292061,104377
292123,104397
295892,104530
296120,104610
296302,104621
300630,104667
301980,104759
303801,105093
303818,105108
303917,105133
304513,105139
305149,105216
308963,105430
309076,105467
311437,105774
315978,105794
316404,105879
317054,105920
317100,105929
322096,106044
322108,106056
322156,106098
322670,106125
322705,106156
322706,106157
322711,106162
322826,106275
322865,106299
323002,106328
326186,106374
326292,106425
326333,106457
326664,106581
326862,106645
327478,106689
328159,106769
328225,106801
332381,106903
332447,106918
334456,107054
334549,107098
334744,107161
335720,107210
335740,107228
335892,107264
336081,107312
336686,107337
337824,107428
337885,107454
343233,107511
343313,107541
343474,107581
343479,107585
343509,107599
343523,107605
344250,107680
350191,107715
350686,107757
351683,107791
351894,107802
353307,107852
354996,107883
356522,107943
360158,107988
378759,108113
381555,108183
400628,108284
409015,108361
409021,108362
412782,108414
413130,108433
418272,108484
418321,108499
418334,108512
418387,108565
418389,108567
418412,108590
418481,108652
418505,108676
418663,108780
418671,108781
418759,108811
419081,108826
419169,108834
419804,108874
420428,108897
420435,108904
421540,109009
422159,109047
426579,109113
427194,109125
428494,109194
434056,109441
434375,109460
438567,109521
438692,109527
440050,109570
443894,109626
443943,109634
444055,109639
445276,109653
452417,109706
452526,109711
452595,109716
458715,109747
459114,109803
459123,109804
460856,109838
461475,109847
463671,109856
465011,109872
465012,109873
466137,109918
466214,109967
466255,109982
469937,110031
472193,110141
472219,110162
472275,110206
472276,110207
475331,110483
477778,110514
477858,110533
477955,110594
478661,110715
478739,110746
478758,110750
478886,110826
478891,110831
478900,110840
478903,110843
478942,110861
479322,110900
479422,110942
479446,110961
479543,111000
481115,111050
481274,111056
481519,111057
481579,111058
482990,111075
483496,111091
483552,111121
483619,111170
483693,111227
483790,111289
483795,111293
483820,111310
484454,111561
484526,111629
484532,111635
484553,111654
485049,111785
485196,111900
485310,111969
485526,112006
485666,112061
486965,112122
487546,112137
487630,112139
493021,112175
495227,112244
496171,112429
496233,112476
496508,112682
496518,112692
496557,112731
496558,112732
496729,112898
496750,112919
496818,112987
496926,113094
496969,113137
497045,113215
497061,113231
497062,113232
497230,113396
497263,113424
497314,113474
497349,113509
497366,113526
497398,113558
497454,113614
497592,113751
497609,113768
502024,113856
502083,113866
502095,113878
502096,113879
502167,113947
502208,113987
503723,114038
