POI_id,KG
100,37445
1003,37446
1005,37447
1006,37448
100672,37449
1007,37450
1008,37451
100836,37452
100870,37453
100871,37454
100873,37455
1009,37456
1010,37457
101142,37458
1014,37459
101406,37460
1015,37461
101516,37462
101549,37463
1016,37464
101669,37465
1017,37466
101715,37467
101854,37468
101994,37469
101999,37470
102084,37471
102159,37472
102374,37473
102406,37474
102555,37475
102618,37476
102690,37477
104375,37478
104511,37479
104545,37480
10470,37481
104915,37482
105500,37483
105997,37484
105999,37485
106015,37486
106068,37487
106069,37488
106606,37489
106805,37490
106810,37491
110453,37492
110470,37493
110501,37494
110506,37495
110565,37496
110571,37497
110753,37498
110801,37499
110850,37500
110859,37501
110872,37502
110875,37503
110947,37504
111040,37505
111044,37506
111064,37507
111082,37508
111133,37509
111231,37510
111235,37511
111236,37512
111256,37513
111730,37514
111796,37515
1118,37516
1119,37517
111939,37518
112016,37519
112141,37520
1122,37521
1123,37522
1124,37523
1125,37524
1126,37525
1127,37526
1128,37527
1129,37528
1130,37529
1131,37530
113124,37531
1132,37532
1133,37533
1134,37534
1136,37535
113628,37536
113690,37537
1137,37538
113868,37539
1139,37540
1141,37541
1142,37542
114204,37543
1143,37544
1144,37545
114499,37546
114647,37547
114914,37548
114922,37549
115073,37550
115163,37551
115164,37552
115165,37553
115167,37554
115168,37555
115216,37556
1153,37557
1154,37558
115432,37559
1156,37560
1158,37561
1159,37562
1160,37563
1161,37564
1162,37565
1163,37566
11634,37567
1164,37568
1166,37569
1167,37570
116787,37571
1168,37572
1169,37573
1170,37574
1171,37575
1172,37576
1173,37577
1174,37578
1187,37579
118710,37580
118775,37581
119376,37582
119391,37583
119442,37584
119446,37585
119447,37586
119452,37587
119460,37588
119474,37589
1195,37590
119586,37591
1196,37592
119655,37593
119815,37594
120002,37595
120006,37596
120136,37597
120137,37598
120138,37599
120144,37600
120150,37601
120162,37602
120177,37603
120183,37604
120232,37605
120238,37606
120258,37607
120271,37608
120343,37609
120401,37610
120454,37611
120469,37612
120471,37613
1205,37614
120585,37615
120629,37616
120652,37617
120685,37618
120713,37619
120730,37620
120735,37621
120781,37622
120804,37623
120817,37624
120879,37625
121011,37626
12114,37627
121231,37628
121266,37629
1213,37630
121340,37631
121387,37632
1214,37633
1215,37634
1216,37635
1217,37636
121713,37637
121798,37638
1218,37639
121878,37640
1222,37641
122412,37642
122432,37643
122468,37644
122513,37645
122541,37646
1226,37647
122630,37648
1230,37649
123006,37650
123044,37651
123067,37652
1231,37653
123127,37654
123142,37655
123143,37656
123144,37657
123146,37658
1234,37659
1235,37660
1236,37661
1238,37662
1239,37663
124372,37664
124600,37665
12465,37666
12522,37667
125319,37668
125747,37669
125968,37670
125986,37671
12611,37672
12619,37673
1262,37674
126248,37675
126249,37676
126271,37677
126304,37678
126332,37679
126333,37680
126334,37681
126335,37682
126339,37683
126487,37684
126654,37685
126780,37686
1268,37687
126815,37688
126912,37689
126961,37690
127062,37691
12713,37692
12718,37693
12723,37694
12727,37695
127412,37696
127863,37697
127878,37698
127936,37699
127973,37700
128000,37701
128351,37702
128504,37703
128800,37704
129188,37705
129638,37706
129658,37707
13,37708
1301,37709
130131,37710
1302,37711
13022,37712
130252,37713
1303,37714
130339,37715
130400,37716
130457,37717
130577,37718
130674,37719
130841,37720
130855,37721
130857,37722
130858,37723
130860,37724
130863,37725
130874,37726
130892,37727
130895,37728
130897,37729
1309,37730
130902,37731
130906,37732
130910,37733
130911,37734
130914,37735
130915,37736
130962,37737
130987,37738
1310,37739
131097,37740
131123,37741
131131,37742
131145,37743
131150,37744
131156,37745
131169,37746
131175,37747
131188,37748
131195,37749
131207,37750
131227,37751
131233,37752
131251,37753
131260,37754
131280,37755
131284,37756
131297,37757
1313,37758
131301,37759
131319,37760
131321,37761
131341,37762
131348,37763
131352,37764
131367,37765
131579,37766
131645,37767
131698,37768
131701,37769
131710,37770
131715,37771
131717,37772
131718,37773
131728,37774
131762,37775
1319,37776
1322,37777
132436,37778
132808,37779
132844,37780
1330,37781
133026,37782
133070,37783
1331,37784
134003,37785
134004,37786
134005,37787
134006,37788
134078,37789
1341,37790
134101,37791
134324,37792
13465,37793
13466,37794
13467,37795
13468,37796
13469,37797
13470,37798
1356,37799
1357,37800
1358,37801
1359,37802
13606,37803
1361,37804
13616,37805
13629,37806
136318,37807
136488,37808
13649,37809
13659,37810
13678,37811
13689,37812
13700,37813
137008,37814
137055,37815
1371,37816
1372,37817
13723,37818
137262,37819
137289,37820
137291,37821
1373,37822
1374,37823
13742,37824
137434,37825
137435,37826
13755,37827
1376,37828
137683,37829
13773,37830
1378,37831
13787,37832
13805,37833
138191,37834
13821,37835
138265,37836
138278,37837
1383,37838
138308,37839
138364,37840
138366,37841
138371,37842
138386,37843
1384,37844
138402,37845
1385,37846
138635,37847
138642,37848
138790,37849
138804,37850
138854,37851
138869,37852
138870,37853
139,37854
1399,37855
1427,37856
142968,37857
143383,37858
144,37859
1440,37860
144007,37861
144817,37862
144832,37863
145,37864
145272,37865
1453,37866
145406,37867
145418,37868
145449,37869
145472,37870
145476,37871
145487,37872
145488,37873
145489,37874
145500,37875
145501,37876
145503,37877
14566,37878
1459,37879
146,37880
1460,37881
1461,37882
147,37883
1474,37884
1475,37885
147517,37886
147518,37887
147598,37888
1476,37889
147611,37890
147648,37891
1477,37892
147773,37893
1478,37894
1479,37895
148,37896
1480,37897
1481,37898
1482,37899
1483,37900
148345,37901
1484,37902
148404,37903
148406,37904
148421,37905
1485,37906
1486,37907
148618,37908
148676,37909
148680,37910
1487,37911
148704,37912
148706,37913
148720,37914
148799,37915
1488,37916
148858,37917
1489,37918
149,37919
1490,37920
14906,37921
1491,37922
14925,37923
1493,37924
149334,37925
1495,37926
1496,37927
1497,37928
1498,37929
149824,37930
1499,37931
150,37932
1500,37933
150091,37934
1501,37935
1502,37936
1503,37937
150309,37938
150356,37939
1504,37940
1505,37941
1506,37942
1507,37943
150700,37944
1508,37945
1509,37946
1510,37947
1511,37948
1512,37949
1513,37950
151350,37951
1514,37952
151514,37953
151550,37954
151594,37955
1516,37956
151628,37957
151666,37958
1517,37959
151709,37960
151746,37961
151785,37962
1518,37963
151801,37964
151838,37965
151856,37966
151870,37967
151879,37968
1519,37969
151917,37970
151945,37971
151981,37972
1520,37973
152000,37974
152056,37975
152091,37976
1521,37977
152108,37978
152148,37979
152162,37980
1522,37981
152201,37982
152219,37983
15225,37984
152254,37985
1523,37986
152355,37987
152356,37988
152368,37989
1524,37990
152418,37991
152438,37992
152459,37993
152474,37994
152490,37995
1525,37996
152516,37997
152542,37998
152552,37999
152568,38000
152580,38001
1526,38002
152607,38003
152619,38004
152640,38005
152651,38006
152667,38007
152676,38008
1527,38009
152700,38010
152711,38011
152724,38012
152760,38013
152763,38014
1528,38015
1529,38016
1530,38017
1531,38018
1532,38019
1533,38020
15333,38021
1534,38022
153457,38023
1535,38024
153519,38025
15352,38026
1536,38027
15367,38028
153702,38029
153728,38030
153759,38031
1538,38032
153804,38033
15381,38034
153843,38035
1539,38036
153900,38037
153927,38038
153947,38039
153967,38040
154,38041
154026,38042
1542,38043
154215,38044
154283,38045
154291,38046
154293,38047
154298,38048
1543,38049
154314,38050
154353,38051
154368,38052
154381,38053
154384,38054
154389,38055
154396,38056
154398,38057
154403,38058
154406,38059
154409,38060
154413,38061
154417,38062
154419,38063
154420,38064
154441,38065
154470,38066
154499,38067
154574,38068
154588,38069
1546,38070
154604,38071
154607,38072
154609,38073
15461,38074
154613,38075
154615,38076
154616,38077
154627,38078
154640,38079
154653,38080
154654,38081
154656,38082
154657,38083
1547,38084
1548,38085
1553,38086
155584,38087
155628,38088
1557,38089
15571,38090
1558,38091
15586,38092
156,38093
1560,38094
15608,38095
156582,38096
157514,38097
157568,38098
1576,38099
157718,38100
157719,38101
157730,38102
157749,38103
157770,38104
157801,38105
157827,38106
157834,38107
157855,38108
157885,38109
157907,38110
157912,38111
157935,38112
157969,38113
157987,38114
157994,38115
158,38116
158021,38117
158049,38118
158076,38119
158082,38120
158101,38121
158158,38122
158171,38123
158236,38124
158392,38125
158510,38126
158522,38127
158524,38128
158530,38129
158608,38130
158648,38131
158694,38132
158759,38133
158785,38134
1588,38135
158826,38136
158837,38137
158874,38138
158893,38139
1589,38140
158937,38141
158958,38142
158979,38143
159,38144
1590,38145
159000,38146
159039,38147
159075,38148
1591,38149
159105,38150
159142,38151
159185,38152
1592,38153
159235,38154
159275,38155
1593,38156
159321,38157
159367,38158
1594,38159
159402,38160
159429,38161
159467,38162
159474,38163
159519,38164
159537,38165
159567,38166
159653,38167
159695,38168
159719,38169
159741,38170
159744,38171
159754,38172
159774,38173
159789,38174
159799,38175
1598,38176
159803,38177
159828,38178
159849,38179
159865,38180
159882,38181
1599,38182
159900,38183
159923,38184
159940,38185
159964,38186
159979,38187
16,38188
160,38189
1600,38190
160006,38191
160026,38192
160054,38193
1601,38194
160102,38195
160127,38196
160160,38197
160171,38198
160186,38199
1602,38200
160236,38201
160246,38202
160293,38203
1603,38204
1604,38205
160495,38206
1605,38207
160703,38208
160794,38209
160796,38210
160804,38211
160816,38212
160826,38213
160835,38214
160844,38215
160859,38216
161,38217
161034,38218
161296,38219
161615,38220
161660,38221
161663,38222
161668,38223
161673,38224
161675,38225
161697,38226
161703,38227
161706,38228
161711,38229
161714,38230
161715,38231
161716,38232
161721,38233
162,38234
163,38235
163443,38236
164,38237
1647,38238
1648,38239
1649,38240
165,38241
1650,38242
1651,38243
1652,38244
1654,38245
1658,38246
165819,38247
165824,38248
1659,38249
165907,38250
1660,38251
166197,38252
1662,38253
166311,38254
1664,38255
1665,38256
1666,38257
1669,38258
167063,38259
167267,38260
167369,38261
167379,38262
1679,38263
1680,38264
1681,38265
1682,38266
168225,38267
1683,38268
1684,38269
1685,38270
168537,38271
1686,38272
1687,38273
168710,38274
1688,38275
168850,38276
1689,38277
169,38278
1690,38279
169074,38280
1691,38281
1692,38282
1693,38283
1694,38284
1695,38285
169502,38286
1696,38287
1697,38288
1698,38289
1699,38290
17,38291
170,38292
1700,38293
1701,38294
1702,38295
1703,38296
170384,38297
1704,38298
170421,38299
170424,38300
170425,38301
170445,38302
170450,38303
170452,38304
170453,38305
170457,38306
170458,38307
170464,38308
170494,38309
1705,38310
1706,38311
1707,38312
1708,38313
1709,38314
171,38315
1710,38316
1711,38317
17192,38318
1739,38319
174921,38320
174926,38321
174935,38322
174979,38323
1750,38324
1751,38325
1752,38326
1754,38327
1756,38328
175617,38329
175627,38330
175637,38331
175655,38332
175682,38333
1757,38334
175707,38335
175737,38336
1758,38337
1759,38338
1760,38339
1761,38340
176176,38341
176181,38342
176183,38343
176186,38344
1762,38345
176201,38346
176202,38347
176257,38348
176273,38349
1763,38350
176324,38351
176349,38352
1776,38353
1777,38354
177758,38355
1778,38356
177899,38357
177937,38358
177958,38359
177991,38360
178087,38361
178150,38362
178175,38363
178217,38364
178309,38365
178318,38366
178386,38367
178453,38368
178526,38369
178530,38370
178555,38371
178584,38372
178591,38373
178609,38374
178625,38375
178626,38376
178628,38377
178651,38378
178693,38379
178946,38380
179133,38381
179138,38382
179147,38383
179385,38384
179491,38385
179581,38386
179735,38387
17996,38388
180116,38389
180242,38390
180365,38391
180451,38392
180719,38393
181032,38394
181168,38395
1812,38396
181382,38397
181829,38398
181832,38399
18185,38400
18186,38401
1820,38402
182027,38403
1821,38404
18229,38405
182378,38406
182703,38407
18274,38408
182839,38409
182857,38410
18286,38411
182888,38412
18291,38413
182944,38414
182949,38415
183081,38416
183111,38417
183417,38418
183453,38419
183466,38420
183521,38421
183552,38422
183772,38423
183793,38424
183816,38425
183893,38426
184,38427
18405,38428
1841,38429
184115,38430
1842,38431
184207,38432
184214,38433
184216,38434
184227,38435
184230,38436
184242,38437
184288,38438
1843,38439
184366,38440
184393,38441
1844,38442
184419,38443
184436,38444
184456,38445
1845,38446
184509,38447
1846,38448
184625,38449
184697,38450
184732,38451
184740,38452
184744,38453
184757,38454
1848,38455
184857,38456
184913,38457
184944,38458
1850,38459
1851,38460
1852,38461
1853,38462
185316,38463
1854,38464
1855,38465
1856,38466
185609,38467
1857,38468
1858,38469
185887,38470
186055,38471
186169,38472
186384,38473
186524,38474
186571,38475
186626,38476
186967,38477
18705,38478
1871,38479
187158,38480
187265,38481
187306,38482
187307,38483
187308,38484
187426,38485
18743,38486
187432,38487
187434,38488
1880,38489
1882,38490
1883,38491
1884,38492
1889,38493
189,38494
1892,38495
1895,38496
1898,38497
1899,38498
19,38499
190,38500
1909,38501
191,38502
1910,38503
191689,38504
191875,38505
19193,38506
192,38507
1920,38508
1921,38509
192185,38510
1922,38511
192214,38512
192252,38513
192270,38514
192309,38515
192338,38516
1924,38517
19249,38518
1925,38519
1926,38520
192629,38521
1928,38522
1929,38523
19296,38524
192999,38525
19308,38526
1931,38527
1932,38528
1933,38529
1934,38530
1936,38531
1937,38532
193880,38533
1940,38534
194255,38535
194260,38536
194341,38537
194342,38538
194544,38539
194756,38540
1950,38541
1951,38542
1952,38543
1953,38544
1954,38545
1956,38546
1958,38547
195841,38548
1959,38549
195965,38550
1960,38551
196038,38552
196085,38553
196302,38554
196464,38555
196558,38556
196593,38557
196850,38558
196878,38559
196908,38560
196932,38561
196950,38562
197097,38563
197098,38564
197099,38565
197108,38566
197109,38567
197113,38568
197118,38569
197120,38570
197121,38571
197123,38572
197131,38573
197142,38574
197155,38575
197156,38576
197159,38577
197160,38578
197166,38579
197201,38580
197214,38581
197238,38582
197247,38583
197255,38584
197260,38585
197262,38586
197276,38587
197280,38588
197285,38589
197293,38590
197296,38591
19730,38592
197300,38593
197309,38594
197313,38595
197316,38596
197330,38597
197334,38598
197335,38599
197354,38600
197368,38601
197379,38602
197381,38603
197382,38604
197383,38605
197391,38606
197425,38607
197427,38608
197439,38609
197445,38610
197447,38611
197448,38612
197449,38613
197450,38614
197454,38615
197474,38616
197475,38617
197487,38618
197497,38619
197500,38620
197509,38621
197510,38622
197534,38623
197565,38624
197575,38625
197587,38626
197592,38627
197604,38628
197626,38629
197634,38630
197635,38631
197636,38632
197638,38633
197644,38634
197665,38635
197670,38636
197687,38637
197693,38638
197707,38639
197723,38640
197729,38641
197737,38642
197740,38643
197747,38644
197748,38645
197749,38646
197751,38647
197761,38648
197765,38649
197770,38650
197771,38651
197776,38652
197781,38653
197798,38654
197802,38655
197804,38656
197809,38657
197820,38658
197828,38659
197878,38660
197882,38661
197888,38662
197906,38663
197925,38664
197926,38665
197930,38666
197932,38667
197961,38668
197963,38669
197998,38670
198007,38671
198010,38672
198016,38673
198022,38674
198024,38675
198026,38676
198040,38677
198041,38678
198045,38679
198058,38680
198070,38681
198078,38682
198084,38683
198098,38684
198120,38685
198121,38686
198129,38687
198130,38688
198133,38689
198142,38690
198144,38691
198147,38692
198150,38693
198158,38694
198166,38695
198169,38696
198174,38697
198178,38698
198186,38699
198193,38700
198196,38701
198203,38702
198204,38703
198213,38704
198216,38705
198220,38706
198222,38707
198900,38708
199044,38709
200038,38710
200040,38711
200281,38712
200409,38713
200630,38714
200724,38715
200823,38716
200886,38717
201158,38718
201246,38719
201544,38720
201608,38721
201690,38722
201845,38723
201849,38724
201850,38725
201851,38726
201861,38727
201869,38728
201877,38729
201883,38730
201930,38731
202041,38732
202098,38733
202103,38734
202113,38735
202177,38736
202178,38737
202179,38738
202180,38739
20331,38740
204012,38741
204158,38742
204279,38743
204397,38744
204421,38745
205060,38746
205306,38747
205714,38748
206065,38749
206157,38750
206360,38751
206383,38752
206591,38753
206971,38754
207,38755
207096,38756
207149,38757
207241,38758
207253,38759
207270,38760
207720,38761
207723,38762
208066,38763
208075,38764
208177,38765
208345,38766
208391,38767
208434,38768
208686,38769
208693,38770
208785,38771
208836,38772
208876,38773
209140,38774
209219,38775
209414,38776
209583,38777
209681,38778
209697,38779
209730,38780
209788,38781
209803,38782
209838,38783
21,38784
210,38785
210117,38786
210262,38787
21030,38788
21031,38789
210452,38790
210603,38791
211034,38792
21117,38793
21121,38794
21146,38795
21147,38796
21178,38797
211841,38798
212084,38799
212360,38800
21239,38801
21240,38802
21241,38803
212444,38804
21258,38805
212876,38806
212953,38807
213,38808
213521,38809
213598,38810
213644,38811
213701,38812
213971,38813
213983,38814
214,38815
214051,38816
214113,38817
214117,38818
214118,38819
214119,38820
214120,38821
214122,38822
214124,38823
214126,38824
214127,38825
214143,38826
214182,38827
214183,38828
21464,38829
214735,38830
21476,38831
21477,38832
214926,38833
214937,38834
215247,38835
215432,38836
215570,38837
215707,38838
215988,38839
216546,38840
216622,38841
216672,38842
216863,38843
21698,38844
217087,38845
217089,38846
217090,38847
217091,38848
217092,38849
217093,38850
218,38851
21803,38852
21878,38853
219,38854
219749,38855
219776,38856
219893,38857
22,38858
220,38859
220123,38860
220192,38861
220223,38862
220265,38863
220383,38864
220476,38865
220548,38866
220782,38867
220831,38868
220888,38869
220922,38870
221,38871
221083,38872
221152,38873
22121,38874
221248,38875
2213,38876
221303,38877
221327,38878
221334,38879
221521,38880
221711,38881
222214,38882
222326,38883
222423,38884
222451,38885
222489,38886
222495,38887
222502,38888
222513,38889
2226,38890
222717,38891
222718,38892
222720,38893
223,38894
22316,38895
2234,38896
2235,38897
2236,38898
224,38899
22468,38900
225464,38901
225465,38902
225466,38903
225467,38904
225468,38905
225470,38906
225471,38907
225477,38908
225590,38909
225625,38910
225663,38911
225683,38912
225716,38913
225720,38914
225738,38915
225753,38916
225773,38917
225777,38918
225795,38919
225798,38920
225803,38921
225831,38922
225833,38923
225838,38924
225845,38925
225866,38926
225871,38927
225885,38928
225893,38929
225898,38930
225901,38931
225912,38932
225915,38933
225919,38934
225929,38935
225941,38936
225942,38937
225946,38938
225953,38939
225961,38940
225964,38941
225980,38942
225982,38943
225983,38944
225989,38945
225999,38946
226,38947
226010,38948
226015,38949
226023,38950
226032,38951
226073,38952
226075,38953
226080,38954
226094,38955
226097,38956
226102,38957
226106,38958
226115,38959
226118,38960
226122,38961
226127,38962
226128,38963
226129,38964
226138,38965
226141,38966
226145,38967
226147,38968
226148,38969
226153,38970
226163,38971
226177,38972
226206,38973
22628,38974
226323,38975
22641,38976
22642,38977
226534,38978
226690,38979
2267,38980
227,38981
227001,38982
227145,38983
227464,38984
227466,38985
227581,38986
227843,38987
227916,38988
227918,38989
227920,38990
227942,38991
2280,38992
228012,38993
228233,38994
228265,38995
228321,38996
228355,38997
228368,38998
2285,38999
228506,39000
228526,39001
228530,39002
228533,39003
228580,39004
228680,39005
2287,39006
228713,39007
228720,39008
228775,39009
2288,39010
228803,39011
228812,39012
228842,39013
228860,39014
228893,39015
228897,39016
2289,39017
228986,39018
228988,39019
2290,39020
2291,39021
229113,39022
229129,39023
229157,39024
229162,39025
229183,39026
229190,39027
229198,39028
229252,39029
229257,39030
229295,39031
2293,39032
229342,39033
229344,39034
229385,39035
2294,39036
229428,39037
229429,39038
229437,39039
229451,39040
229488,39041
229504,39042
229540,39043
229743,39044
229747,39045
229755,39046
229778,39047
229894,39048
230,39049
230000,39050
230015,39051
230016,39052
230017,39053
230018,39054
230019,39055
230036,39056
230071,39057
230142,39058
230175,39059
230549,39060
230562,39061
230584,39062
230605,39063
230625,39064
230627,39065
2307,39066
2309,39067
2310,39068
2318,39069
232,39070
2320,39071
2322,39072
232588,39073
233,39074
2331,39075
234,39076
234102,39077
235,39078
235308,39079
236,39080
236174,39081
236181,39082
236275,39083
2363,39084
236352,39085
236419,39086
2365,39087
236514,39088
236597,39089
2366,39090
236651,39091
236652,39092
2367,39093
2368,39094
