road_id,KG
10,69024
100,69025
10000,69026
100001,69027
100002,69028
100003,69029
100004,69030
100005,69031
100006,69032
100007,69033
100008,69034
100009,69035
10001,69036
100010,69037
100011,69038
100012,69039
100013,69040
100014,69041
100015,69042
100016,69043
100017,69044
100018,69045
100019,69046
10002,69047
100020,69048
100022,69049
100023,69050
100024,69051
10003,69052
100030,69053
100031,69054
100032,69055
100033,69056
100034,69057
100035,69058
100036,69059
100037,69060
100038,69061
100039,69062
10004,69063
100040,69064
100041,69065
100042,69066
100043,69067
100044,69068
100045,69069
100046,69070
100047,69071
100048,69072
100049,69073
10005,69074
100050,69075
100052,69076
100053,69077
100054,69078
100055,69079
100056,69080
100057,69081
100058,69082
100059,69083
10006,69084
100060,69085
100061,69086
100062,69087
100063,69088
100064,69089
100065,69090
100068,69091
100069,69092
10007,69093
100070,69094
100071,69095
100072,69096
100073,69097
100074,69098
100075,69099
100076,69100
10008,69101
100081,69102
100082,69103
100083,69104
100084,69105
100085,69106
100086,69107
100087,69108
100088,69109
100089,69110
10009,69111
100090,69112
100091,69113
100092,69114
100097,69115
100098,69116
100099,69117
10010,69118
100100,69119
100101,69120
100102,69121
100103,69122
100104,69123
100105,69124
100106,69125
100107,69126
100108,69127
100109,69128
10011,69129
100110,69130
100111,69131
100112,69132
100113,69133
100114,69134
100115,69135
100118,69136
100119,69137
10012,69138
100120,69139
100121,69140
100122,69141
100123,69142
100124,69143
100125,69144
100126,69145
100127,69146
100128,69147
100129,69148
10013,69149
100130,69150
100132,69151
100133,69152
100134,69153
100135,69154
100136,69155
100137,69156
100138,69157
100139,69158
10014,69159
100140,69160
100141,69161
100142,69162
100143,69163
100144,69164
100145,69165
100146,69166
100147,69167
100148,69168
100149,69169
10015,69170
100150,69171
100151,69172
100152,69173
100153,69174
100154,69175
100155,69176
100156,69177
100157,69178
100158,69179
100159,69180
10016,69181
100160,69182
100161,69183
100162,69184
100163,69185
100164,69186
100165,69187
100167,69188
100169,69189
10017,69190
100170,69191
100171,69192
100172,69193
100174,69194
100175,69195
100176,69196
100178,69197
100179,69198
10018,69199
100180,69200
100182,69201
100183,69202
100184,69203
100185,69204
100186,69205
100187,69206
100189,69207
10019,69208
100190,69209
100191,69210
100193,69211
100194,69212
100195,69213
100196,69214
10020,69215
100203,69216
100204,69217
100205,69218
100206,69219
100207,69220
100209,69221
100210,69222
100211,69223
100212,69224
100213,69225
100214,69226
100215,69227
100216,69228
100217,69229
100218,69230
100219,69231
100220,69232
100221,69233
100222,69234
100223,69235
100224,69236
100225,69237
100226,69238
100227,69239
100228,69240
100263,69241
100264,69242
100269,69243
100270,69244
100271,69245
100272,69246
100273,69247
100274,69248
100275,69249
100276,69250
100277,69251
100278,69252
100279,69253
100280,69254
100281,69255
100282,69256
100283,69257
100284,69258
100285,69259
100286,69260
100287,69261
100288,69262
100289,69263
100290,69264
100291,69265
100292,69266
100293,69267
100294,69268
100295,69269
100296,69270
100297,69271
100298,69272
100299,69273
100300,69274
100301,69275
100302,69276
100303,69277
100304,69278
100305,69279
100306,69280
100307,69281
100309,69282
100310,69283
100311,69284
100312,69285
100313,69286
100314,69287
100315,69288
100316,69289
100317,69290
100318,69291
100319,69292
100320,69293
100321,69294
100322,69295
100323,69296
100324,69297
100325,69298
100326,69299
100327,69300
100328,69301
100329,69302
100330,69303
100331,69304
100332,69305
100333,69306
100334,69307
100335,69308
100336,69309
100337,69310
100338,69311
100339,69312
100340,69313
100341,69314
100342,69315
100343,69316
100344,69317
100345,69318
100346,69319
100347,69320
100348,69321
100349,69322
100350,69323
100351,69324
100352,69325
100353,69326
100354,69327
100355,69328
100356,69329
100357,69330
100360,69331
100361,69332
100362,69333
100363,69334
100364,69335
100365,69336
100366,69337
100367,69338
100368,69339
100369,69340
100370,69341
100371,69342
100372,69343
100373,69344
100374,69345
100375,69346
100376,69347
100377,69348
100378,69349
100379,69350
100425,69351
100426,69352
100427,69353
100428,69354
100429,69355
100430,69356
100431,69357
100432,69358
100433,69359
100435,69360
