POI_id,KG
0,62912
10,62913
100,62914
1001120,62915
1001483,62916
1002270,62917
1002271,62918
1002883,62919
1004096,62920
1004097,62921
1004101,62922
1004102,62923
1004104,62924
1004105,62925
1004111,62926
1004183,62927
1004254,62928
1004302,62929
1004482,62930
1004550,62931
1004668,62932
1004724,62933
1004732,62934
1004733,62935
1004734,62936
1004735,62937
1004736,62938
1004737,62939
1004738,62940
1004739,62941
1004740,62942
1004741,62943
1004742,62944
1004743,62945
1004744,62946
1004745,62947
1004746,62948
1004747,62949
1004748,62950
1004749,62951
1004753,62952
1004762,62953
1004763,62954
1004764,62955
1004765,62956
1004767,62957
1004802,62958
1004803,62959
1004804,62960
1004805,62961
1004806,62962
1004807,62963
1004808,62964
1004809,62965
1004810,62966
1004811,62967
1004812,62968
1004822,62969
1004831,62970
1004832,62971
1004836,62972
1005443,62973
1005445,62974
1005486,62975
1005869,62976
1005990,62977
1006020,62978
1006021,62979
1006023,62980
1006024,62981
1006026,62982
1006027,62983
1006029,62984
1006082,62985
1006085,62986
1006087,62987
1006089,62988
1006090,62989
1006091,62990
1006092,62991
1006094,62992
1006096,62993
1006097,62994
1006099,62995
1006101,62996
1006103,62997
1006109,62998
1006123,62999
1006127,63000
1006134,63001
1006177,63002
1006178,63003
100618,63004
100619,63005
100620,63006
1006201,63007
1006206,63008
1006213,63009
1006217,63010
1006220,63011
1006222,63012
1006225,63013
1006228,63014
1006231,63015
1006232,63016
1006233,63017
1006234,63018
1006235,63019
1006236,63020
1006237,63021
1006239,63022
1006245,63023
1006260,63024
1006298,63025
1006304,63026
1006305,63027
1006319,63028
1006328,63029
1006357,63030
1006359,63031
1006374,63032
1006470,63033
1006498,63034
1006537,63035
1006539,63036
1006540,63037
1006541,63038
1006558,63039
1006574,63040
1006575,63041
1006580,63042
1006606,63043
1006612,63044
1006780,63045
1006844,63046
1006846,63047
1006852,63048
1006854,63049
100838,63050
1008399,63051
1008528,63052
1008780,63053
1008817,63054
101,63055
1010023,63056
1010105,63057
1010107,63058
1010115,63059
1010116,63060
1010134,63061
1010135,63062
1010136,63063
1010137,63064
1010138,63065
1010139,63066
1010140,63067
1010141,63068
1010142,63069
1010143,63070
1010144,63071
1010147,63072
1010517,63073
1010636,63074
1010637,63075
1011225,63076
1011292,63077
1011308,63078
1011312,63079
1011329,63080
1011628,63081
101165,63082
1011655,63083
1012258,63084
1012261,63085
1012330,63086
1012332,63087
1012333,63088
1012335,63089
1012336,63090
1012337,63091
1012339,63092
1012340,63093
1012341,63094
1012342,63095
1012345,63096
1012346,63097
1012348,63098
1012488,63099
1012573,63100
1012723,63101
1012821,63102
1012822,63103
1012823,63104
1012832,63105
1012835,63106
1012839,63107
1012887,63108
1013043,63109
1015698,63110
1015748,63111
1015826,63112
101584,63113
1015922,63114
1016163,63115
1016164,63116
101621,63117
1016402,63118
1016416,63119
1016455,63120
1016515,63121
1016716,63122
1017463,63123
1017464,63124
1017472,63125
1018007,63126
102,63127
1020129,63128
10202,63129
1020397,63130
1020753,63131
1020772,63132
1020969,63133
1021979,63134
102207,63135
1022328,63136
10224,63137
10225,63138
10226,63139
1022686,63140
1022687,63141
10227,63142
1022781,63143
1022786,63144
10228,63145
1023160,63146
1023665,63147
1023825,63148
1023837,63149
1023920,63150
1024010,63151
1024016,63152
1024018,63153
1024035,63154
1024359,63155
1024857,63156
1025590,63157
1025745,63158
1025756,63159
1025772,63160
1026405,63161
1026406,63162
1026934,63163
1027172,63164
1027227,63165
1027289,63166
1027470,63167
1027471,63168
1027513,63169
1027590,63170
1027848,63171
1027882,63172
1027883,63173
1027884,63174
1028509,63175
1028512,63176
1028514,63177
1028716,63178
1028727,63179
1028959,63180
1029092,63181
1029229,63182
1029550,63183
1029685,63184
1029893,63185
1029894,63186
1029896,63187
103,63188
1030195,63189
1030196,63190
1030294,63191
1030880,63192
1031156,63193
10313,63194
1031333,63195
1031334,63196
103144,63197
1031551,63198
1031571,63199
1033020,63200
1033105,63201
1033150,63202
1033196,63203
1033268,63204
1033270,63205
1033941,63206
1033947,63207
1034602,63208
1034618,63209
1035,63210
1035993,63211
1035996,63212
1035997,63213
1035998,63214
1035999,63215
1036000,63216
1036019,63217
1036020,63218
1036021,63219
1036055,63220
1036220,63221
1036391,63222
1036550,63223
1036561,63224
1036566,63225
1036760,63226
103749,63227
1037582,63228
1037583,63229
10376,63230
103767,63231
103770,63232
1037700,63233
103774,63234
1037856,63235
1038024,63236
1038049,63237
1038136,63238
1038152,63239
1038171,63240
1038179,63241
1038180,63242
1038182,63243
1038193,63244
1038194,63245
1038195,63246
1038196,63247
1038197,63248
1038198,63249
1038199,63250
1038200,63251
1038201,63252
1038202,63253
1038227,63254
1038236,63255
1038239,63256
1038267,63257
1038268,63258
1038269,63259
1038270,63260
1038271,63261
1038272,63262
1038273,63263
1038274,63264
1038275,63265
1038276,63266
1038277,63267
1038278,63268
1038280,63269
1038281,63270
1038282,63271
1038283,63272
1038284,63273
1038285,63274
1038286,63275
1038288,63276
1038289,63277
1038290,63278
1038293,63279
1038297,63280
1038299,63281
1038311,63282
1038312,63283
1038313,63284
1038314,63285
1038322,63286
1038325,63287
1038333,63288
1038334,63289
1038353,63290
1038368,63291
1038370,63292
103839,63293
103840,63294
1038401,63295
1038411,63296
103845,63297
1038455,63298
1038456,63299
1038524,63300
1038614,63301
1038667,63302
1038776,63303
1038946,63304
1038947,63305
1038948,63306
1038949,63307
1038951,63308
1038952,63309
1038956,63310
1038991,63311
1039105,63312
1039135,63313
1039190,63314
1039253,63315
1039271,63316
1039358,63317
1039384,63318
1039431,63319
1039439,63320
1039445,63321
1039488,63322
1039493,63323
1039498,63324
1039500,63325
1039521,63326
1039532,63327
1039570,63328
1039640,63329
1039645,63330
1039646,63331
1039647,63332
1039655,63333
1039660,63334
1039665,63335
1039667,63336
1039675,63337
1039682,63338
1039750,63339
1039852,63340
1039862,63341
104,63342
1040097,63343
1040098,63344
1040141,63345
1040199,63346
1040202,63347
1040209,63348
1040235,63349
1040255,63350
1040304,63351
1040471,63352
10405,63353
1040931,63354
1041,63355
104100,63356
1041235,63357
1041570,63358
1041573,63359
1041574,63360
1041575,63361
1041856,63362
1041857,63363
1041858,63364
1041941,63365
1043658,63366
1043659,63367
1044185,63368
1044258,63369
1044264,63370
1044313,63371
1044319,63372
1044327,63373
1044474,63374
1044477,63375
1044481,63376
1044484,63377
104455,63378
1044574,63379
1044798,63380
1045052,63381
1045053,63382
1045999,63383
1047972,63384
1048490,63385
1048767,63386
1048773,63387
1048805,63388
105,63389
1050423,63390
1050425,63391
1050427,63392
1050429,63393
1050430,63394
1050431,63395
1050432,63396
1050433,63397
1050435,63398
1050436,63399
1050437,63400
1050439,63401
1050440,63402
1050441,63403
1050442,63404
1050443,63405
1050444,63406
1050446,63407
1050448,63408
1050449,63409
1050450,63410
1050451,63411
1050452,63412
1050453,63413
1050454,63414
1050455,63415
1050456,63416
1050457,63417
1050458,63418
1050459,63419
1050460,63420
1050461,63421
1050462,63422
1050463,63423
1050464,63424
1050465,63425
1050466,63426
1050467,63427
1050468,63428
1050469,63429
1050470,63430
1050471,63431
1050472,63432
1050473,63433
1050474,63434
1050483,63435
1050484,63436
1050485,63437
1050486,63438
1050487,63439
1050488,63440
1050489,63441
1050490,63442
1050491,63443
1050492,63444
1050493,63445
1050494,63446
1050495,63447
1050496,63448
1050497,63449
1050498,63450
1050499,63451
1050500,63452
1050501,63453
1050502,63454
1050503,63455
1050504,63456
1050505,63457
1050506,63458
1050507,63459
1050508,63460
1050509,63461
1050510,63462
1050511,63463
1050512,63464
1050513,63465
1050514,63466
1050515,63467
1050516,63468
1050517,63469
1050518,63470
1050519,63471
1050520,63472
1050521,63473
1050522,63474
1050523,63475
1050524,63476
1050525,63477
1050526,63478
1050527,63479
1050528,63480
1050529,63481
1050530,63482
1050531,63483
1050532,63484
1050533,63485
1050534,63486
1050535,63487
1050536,63488
1050537,63489
1050538,63490
1050539,63491
1050540,63492
1050541,63493
1050542,63494
1050543,63495
1050544,63496
1050545,63497
1050546,63498
1050547,63499
1050548,63500
1050549,63501
1050550,63502
1050551,63503
1050552,63504
1050553,63505
1050554,63506
1050555,63507
1050556,63508
1050557,63509
1050558,63510
1050559,63511
1050560,63512
1050561,63513
1050562,63514
1050563,63515
1050564,63516
1050565,63517
1050566,63518
1050567,63519
1050568,63520
1050569,63521
1050570,63522
1050571,63523
1050572,63524
1050573,63525
1050574,63526
1050575,63527
1050576,63528
1050577,63529
1050578,63530
1050579,63531
1050580,63532
1050581,63533
1050582,63534
1050583,63535
1050584,63536
1050585,63537
1050586,63538
1050587,63539
1050588,63540
1050589,63541
1050590,63542
1050591,63543
1050592,63544
1050593,63545
1050594,63546
1050595,63547
1050597,63548
1050598,63549
1050599,63550
1050600,63551
1050601,63552
1050602,63553
1050603,63554
1050604,63555
1050605,63556
1050606,63557
1050607,63558
1050608,63559
1050609,63560
1050610,63561
1050611,63562
1050926,63563
105105,63564
1051138,63565
1051780,63566
1052158,63567
1052219,63568
1052220,63569
10524,63570
1052874,63571
1052942,63572
1053294,63573
1053295,63574
1053350,63575
1053559,63576
1053611,63577
1053612,63578
1053613,63579
1053629,63580
105381,63581
1053840,63582
1053846,63583
1053853,63584
1053898,63585
1053938,63586
1055975,63587
1055976,63588
1056707,63589
105840,63590
105849,63591
105851,63592
105853,63593
105859,63594
105860,63595
1058986,63596
1059067,63597
1059075,63598
1059442,63599
1059763,63600
106,63601
1060066,63602
1060078,63603
1060132,63604
1060139,63605
1060146,63606
1060168,63607
1060175,63608
1060177,63609
1060197,63610
1060209,63611
1060216,63612
1060226,63613
1060268,63614
1061379,63615
1061791,63616
1062342,63617
1062576,63618
106263,63619
1062688,63620
1062796,63621
1062797,63622
1062798,63623
1062799,63624
1062800,63625
1062801,63626
1062802,63627
1062803,63628
1062807,63629
1062808,63630
1062809,63631
1062810,63632
1062811,63633
1062812,63634
1062813,63635
1062814,63636
1062815,63637
1062816,63638
1062817,63639
1062819,63640
1062820,63641
1062821,63642
1062822,63643
1062823,63644
1062824,63645
1062826,63646
1062827,63647
1062828,63648
1062830,63649
1062831,63650
1062832,63651
1062834,63652
1062835,63653
1062836,63654
1062838,63655
1062839,63656
1062840,63657
1062842,63658
1062843,63659
1062844,63660
1062845,63661
1062847,63662
1062848,63663
1062849,63664
1062851,63665
1062854,63666
1062855,63667
1062856,63668
1062858,63669
1062859,63670
1062860,63671
1062861,63672
1062862,63673
1062863,63674
1062864,63675
1062866,63676
1062867,63677
1062868,63678
1062870,63679
1062871,63680
1062872,63681
1062873,63682
1062876,63683
1062877,63684
1062878,63685
1062880,63686
1062881,63687
1062882,63688
1062883,63689
1062884,63690
1062885,63691
1062886,63692
1062888,63693
1062890,63694
1062891,63695
1062892,63696
1062894,63697
1062895,63698
1062896,63699
1062898,63700
1062899,63701
1062900,63702
1062901,63703
1062902,63704
1062903,63705
1062904,63706
1062906,63707
1062907,63708
1062908,63709
1062910,63710
1062911,63711
1062912,63712
1062914,63713
1062915,63714
1062916,63715
1062917,63716
1062919,63717
1062920,63718
1062921,63719
1062924,63720
1062925,63721
1062929,63722
1062930,63723
1062931,63724
1062933,63725
1062934,63726
1062935,63727
1062936,63728
1062937,63729
1062938,63730
1062940,63731
1062941,63732
1062942,63733
1062944,63734
1062945,63735
1062948,63736
1062949,63737
1062950,63738
1062951,63739
1062952,63740
1062953,63741
1062954,63742
1062956,63743
1062957,63744
1062959,63745
1062960,63746
1062963,63747
1062964,63748
1062965,63749
1062967,63750
1062968,63751
1062969,63752
1062971,63753
1062972,63754
1062973,63755
1062974,63756
1062976,63757
1062977,63758
1062978,63759
1062979,63760
1062980,63761
1062981,63762
1062982,63763
1062983,63764
1062985,63765
1062986,63766
1062987,63767
1062988,63768
1062990,63769
1062991,63770
1062992,63771
1062994,63772
1062996,63773
1062997,63774
1062998,63775
1062999,63776
1063000,63777
1063001,63778
1063002,63779
1063003,63780
1063005,63781
1063006,63782
1063007,63783
1063008,63784
1063010,63785
1063011,63786
1063012,63787
1063013,63788
1063014,63789
1063015,63790
1063017,63791
1063018,63792
1063019,63793
1063020,63794
1063021,63795
1063022,63796
1063024,63797
1063025,63798
1063026,63799
1063027,63800
1063028,63801
1063029,63802
1063031,63803
1063032,63804
1063034,63805
1063035,63806
1063036,63807
1063037,63808
1063038,63809
1063039,63810
1063040,63811
1063041,63812
1063042,63813
1063043,63814
1063044,63815
1063046,63816
1063047,63817
1063048,63818
1063049,63819
1063050,63820
1063051,63821
1063052,63822
1063053,63823
1063054,63824
1063055,63825
1063056,63826
1063057,63827
1063058,63828
1063059,63829
1063060,63830
1063061,63831
1063062,63832
1063063,63833
1063064,63834
1063065,63835
1063066,63836
1063067,63837
1063068,63838
1063069,63839
1063070,63840
1063071,63841
1063072,63842
1063073,63843
1063074,63844
1063075,63845
1063082,63846
1063084,63847
1063092,63848
1063093,63849
1063094,63850
1063095,63851
1063096,63852
1063097,63853
1063098,63854
1063099,63855
1063100,63856
1063101,63857
1063102,63858
