2024-04-27 13:16:25 INFO     Saving logs in: ./logs/CHI/04_27/RotH_13_16_25
2024-04-27 13:16:27 INFO     	 (140602, 26, 140602)
2024-04-27 13:16:28 INFO     Total number of parameters 4782990
2024-04-27 13:16:28 INFO     	 Start training
2024-04-27 13:17:07 INFO     	 Epoch 0 | average train loss: 0.1716
2024-04-27 13:17:07 INFO     	 Epoch 0 | average valid loss: 0.0740
2024-04-27 13:17:45 INFO     	 Epoch 1 | average train loss: 0.0767
2024-04-27 13:17:45 INFO     	 Epoch 1 | average valid loss: 0.0536
2024-04-27 13:18:23 INFO     	 Epoch 2 | average train loss: 0.0655
2024-04-27 13:18:23 INFO     	 Epoch 2 | average valid loss: 0.0435
2024-04-27 13:19:16 INFO     	 valid MR: 24475.06 | MRR: 0.140 | H@1: 0.073 | H@3: 0.176 | H@10: 0.275
2024-04-27 13:19:16 INFO     	 Saving model at epoch 2 in ./logs/CHI/04_27/RotH_13_16_25
2024-04-27 13:19:54 INFO     	 Epoch 3 | average train loss: 0.0597
2024-04-27 13:19:55 INFO     	 Epoch 3 | average valid loss: 0.0393
2024-04-27 13:20:32 INFO     	 Epoch 4 | average train loss: 0.0569
2024-04-27 13:20:33 INFO     	 Epoch 4 | average valid loss: 0.0373
2024-04-27 13:21:11 INFO     	 Epoch 5 | average train loss: 0.0556
2024-04-27 13:21:12 INFO     	 Epoch 5 | average valid loss: 0.0365
2024-04-27 13:22:05 INFO     	 valid MR: 24199.91 | MRR: 0.144 | H@1: 0.075 | H@3: 0.178 | H@10: 0.283
2024-04-27 13:22:05 INFO     	 Saving model at epoch 5 in ./logs/CHI/04_27/RotH_13_16_25
2024-04-27 13:22:43 INFO     	 Epoch 6 | average train loss: 0.0549
2024-04-27 13:22:43 INFO     	 Epoch 6 | average valid loss: 0.0360
2024-04-27 13:23:20 INFO     	 Epoch 7 | average train loss: 0.0541
2024-04-27 13:23:21 INFO     	 Epoch 7 | average valid loss: 0.0359
2024-04-27 13:23:59 INFO     	 Epoch 8 | average train loss: 0.0527
2024-04-27 13:23:59 INFO     	 Epoch 8 | average valid loss: 0.0351
2024-04-27 13:24:59 INFO     	 valid MR: 18973.56 | MRR: 0.178 | H@1: 0.107 | H@3: 0.225 | H@10: 0.309
2024-04-27 13:24:59 INFO     	 Saving model at epoch 8 in ./logs/CHI/04_27/RotH_13_16_25
2024-04-27 13:25:36 INFO     	 Epoch 9 | average train loss: 0.0497
2024-04-27 13:25:37 INFO     	 Epoch 9 | average valid loss: 0.0332
2024-04-27 13:26:14 INFO     	 Epoch 10 | average train loss: 0.0462
2024-04-27 13:26:15 INFO     	 Epoch 10 | average valid loss: 0.0320
2024-04-27 13:26:52 INFO     	 Epoch 11 | average train loss: 0.0431
2024-04-27 13:26:53 INFO     	 Epoch 11 | average valid loss: 0.0310
