road_id,KG
10,125368
100,125369
1000,125370
10000,125371
100000,125372
100001,125373
100002,125374
100003,125375
100004,125376
100005,125377
100007,125378
100008,125379
100009,125380
10001,125381
100012,125382
100013,125383
100014,125384
100015,125385
100016,125386
100017,125387
100018,125388
100019,125389
100020,125390
100021,125391
100022,125392
100023,125393
100024,125394
100025,125395
100026,125396
100027,125397
100028,125398
100029,125399
10003,125400
100030,125401
100031,125402
100032,125403
100033,125404
100034,125405
100035,125406
100036,125407
100037,125408
100038,125409
100039,125410
10004,125411
100040,125412
100041,125413
100042,125414
100043,125415
100044,125416
100045,125417
100046,125418
100047,125419
100048,125420
100049,125421
10005,125422
100050,125423
100051,125424
100052,125425
100053,125426
100054,125427
100055,125428
100056,125429
100057,125430
100058,125431
100059,125432
10006,125433
100060,125434
100061,125435
100062,125436
100063,125437
100064,125438
100068,125439
100069,125440
100075,125441
100076,125442
100077,125443
100078,125444
100079,125445
10008,125446
100080,125447
100081,125448
100082,125449
100083,125450
100084,125451
100087,125452
100088,125453
100089,125454
100090,125455
100091,125456
100092,125457
100093,125458
100094,125459
100095,125460
100096,125461
100097,125462
100098,125463
100099,125464
1001,125465
10010,125466
100100,125467
100102,125468
100103,125469
100104,125470
100105,125471
100106,125472
100107,125473
100108,125474
100109,125475
10011,125476
100110,125477
100111,125478
100112,125479
100113,125480
100114,125481
100115,125482
100118,125483
100119,125484
10012,125485
100120,125486
100121,125487
100122,125488
100123,125489
100124,125490
100125,125491
100126,125492
100127,125493
100130,125494
100131,125495
100132,125496
100133,125497
100134,125498
100135,125499
10014,125500
100140,125501
100141,125502
100144,125503
100145,125504
100146,125505
100147,125506
100148,125507
100149,125508
100150,125509
100151,125510
100152,125511
100153,125512
100154,125513
100155,125514
100156,125515
100157,125516
100158,125517
100159,125518
10016,125519
100160,125520
100161,125521
100162,125522
100163,125523
100164,125524
100165,125525
100168,125526
100169,125527
100170,125528
100171,125529
100172,125530
100173,125531
100176,125532
100177,125533
100178,125534
100179,125535
10018,125536
100180,125537
100181,125538
100182,125539
100183,125540
100184,125541
100185,125542
100186,125543
100187,125544
100188,125545
100189,125546
10019,125547
100190,125548
100191,125549
100192,125550
100193,125551
100194,125552
100197,125553
100198,125554
100199,125555
1002,125556
100200,125557
100201,125558
100207,125559
100208,125560
10021,125561
100211,125562
100212,125563
100217,125564
100218,125565
100219,125566
10022,125567
100220,125568
100225,125569
100227,125570
100228,125571
100229,125572
10023,125573
100235,125574
100242,125575
100243,125576
100244,125577
100245,125578
100246,125579
100247,125580
100248,125581
100249,125582
100250,125583
100251,125584
100252,125585
100253,125586
100254,125587
100255,125588
100256,125589
100257,125590
100258,125591
100259,125592
10026,125593
100260,125594
100261,125595
100264,125596
100265,125597
10027,125598
100274,125599
100275,125600
100276,125601
100277,125602
100278,125603
100279,125604
10028,125605
100280,125606
100281,125607
100282,125608
100283,125609
100284,125610
100285,125611
100286,125612
100287,125613
100288,125614
100289,125615
10029,125616
100291,125617
100292,125618
100293,125619
100296,125620
100297,125621
100298,125622
100299,125623
1003,125624
10030,125625
100301,125626
100302,125627
100303,125628
100304,125629
100305,125630
100306,125631
100307,125632
100308,125633
100309,125634
10031,125635
100310,125636
100311,125637
100312,125638
100313,125639
100314,125640
100317,125641
100318,125642
100319,125643
10032,125644
100320,125645
100321,125646
100322,125647
100323,125648
100324,125649
100325,125650
100326,125651
100327,125652
100328,125653
100329,125654
100330,125655
100331,125656
100332,125657
100333,125658
100334,125659
100335,125660
100336,125661
100339,125662
100340,125663
100341,125664
100342,125665
100345,125666
100346,125667
100347,125668
100348,125669
100349,125670
10035,125671
100350,125672
100351,125673
100352,125674
100353,125675
100354,125676
100355,125677
100356,125678
100359,125679
10036,125680
100360,125681
100361,125682
100362,125683
100363,125684
100364,125685
100365,125686
100366,125687
100367,125688
100368,125689
10037,125690
100371,125691
100372,125692
100373,125693
100374,125694
100375,125695
100377,125696
100378,125697
10038,125698
100381,125699
100382,125700
100383,125701
100386,125702
100387,125703
10039,125704
100390,125705
100391,125706
1004,125707
10040,125708
100400,125709
100401,125710
10041,125711
100410,125712
100411,125713
100412,125714
100413,125715
100414,125716
100415,125717
100416,125718
100417,125719
100418,125720
100419,125721
10042,125722
100420,125723
100421,125724
100422,125725
100423,125726
100424,125727
100425,125728
100426,125729
100427,125730
100429,125731
100430,125732
100431,125733
100432,125734
100433,125735
100435,125736
100436,125737
100437,125738
100438,125739
100439,125740
100441,125741
100442,125742
100443,125743
100444,125744
100445,125745
100446,125746
100447,125747
100448,125748
100449,125749
10045,125750
100450,125751
100451,125752
100452,125753
100453,125754
100455,125755
100456,125756
100457,125757
10046,125758
100460,125759
100461,125760
100462,125761
100466,125762
100467,125763
100469,125764
10047,125765
100470,125766
100479,125767
10048,125768
100480,125769
100481,125770
100482,125771
100485,125772
100486,125773
100487,125774
100488,125775
100489,125776
10049,125777
100490,125778
100491,125779
100492,125780
100493,125781
100494,125782
100495,125783
100496,125784
100497,125785
100498,125786
1005,125787
10050,125788
100507,125789
100508,125790
100509,125791
10051,125792
100510,125793
100511,125794
100512,125795
100513,125796
100514,125797
100515,125798
100516,125799
100517,125800
100518,125801
100519,125802
10052,125803
100522,125804
100523,125805
100524,125806
100525,125807
100526,125808
100527,125809
100528,125810
100529,125811
100530,125812
100531,125813
100535,125814
100536,125815
100537,125816
100538,125817
100539,125818
10054,125819
100540,125820
100541,125821
100542,125822
100543,125823
100544,125824
100545,125825
100546,125826
100547,125827
100548,125828
100549,125829
100550,125830
100553,125831
100554,125832
100555,125833
100556,125834
100558,125835
10056,125836
100562,125837
100563,125838
100566,125839
100567,125840
100569,125841
10057,125842
100570,125843
100571,125844
100572,125845
100573,125846
100574,125847
100575,125848
100576,125849
100577,125850
100578,125851
100579,125852
10058,125853
100580,125854
100581,125855
100582,125856
100583,125857
100584,125858
100585,125859
100586,125860
100587,125861
100588,125862
100589,125863
10059,125864
100590,125865
100591,125866
100592,125867
100597,125868
100598,125869
1006,125870
10060,125871
100600,125872
100602,125873
100603,125874
100604,125875
100605,125876
100606,125877
100607,125878
100608,125879
100609,125880
10061,125881
100610,125882
100611,125883
100612,125884
100613,125885
100614,125886
100615,125887
100616,125888
100617,125889
100618,125890
100619,125891
10062,125892
100620,125893
100621,125894
100622,125895
100623,125896
100624,125897
100625,125898
100626,125899
100627,125900
100628,125901
100631,125902
100632,125903
100633,125904
100635,125905
100636,125906
100637,125907
100638,125908
100639,125909
100641,125910
100642,125911
100644,125912
100647,125913
100648,125914
100649,125915
100650,125916
100652,125917
100655,125918
100656,125919
100657,125920
100658,125921
100659,125922
100660,125923
100661,125924
100662,125925
100665,125926
100666,125927
100667,125928
100668,125929
100669,125930
100670,125931
100671,125932
100672,125933
100673,125934
100674,125935
100675,125936
100676,125937
100677,125938
100678,125939
100679,125940
100680,125941
100681,125942
100682,125943
100683,125944
100684,125945
100685,125946
100686,125947
100687,125948
100688,125949
100689,125950
10069,125951
100690,125952
100694,125953
100695,125954
100696,125955
100697,125956
100698,125957
100699,125958
1007,125959
10070,125960
100700,125961
100701,125962
100702,125963
100703,125964
100704,125965
100705,125966
100706,125967
100707,125968
10071,125969
100710,125970
100711,125971
100715,125972
100716,125973
100718,125974
100719,125975
100720,125976
100721,125977
100726,125978
100727,125979
100728,125980
100729,125981
10073,125982
100730,125983
100731,125984
100732,125985
