2024-04-30 09:40:34 INFO     Saving logs in: ./logs\CHI\04_30\RotH_09_40_34
2024-04-30 09:40:35 INFO     	 (140602, 26, 140602)
2024-04-30 09:40:36 INFO     Total number of parameters 4782990
2024-04-30 09:40:36 INFO     	 Start training
2024-04-30 09:41:25 INFO     	 Epoch 0 | average train loss: 0.1689
2024-04-30 09:41:26 INFO     	 Epoch 0 | average valid loss: 0.0710
2024-04-30 09:42:16 INFO     	 Epoch 1 | average train loss: 0.0747
2024-04-30 09:42:16 INFO     	 Epoch 1 | average valid loss: 0.0501
2024-04-30 09:43:06 INFO     	 Epoch 2 | average train loss: 0.0642
2024-04-30 09:43:06 INFO     	 Epoch 2 | average valid loss: 0.0418
2024-04-30 09:51:50 INFO     	 valid MR: 23889.47 | MRR: 0.148 | H@1: 0.084 | H@3: 0.180 | H@10: 0.280
2024-04-30 09:51:50 INFO     	 Saving model at epoch 2 in ./logs\CHI\04_30\RotH_09_40_34
2024-04-30 09:52:39 INFO     	 Epoch 3 | average train loss: 0.0591
2024-04-30 09:52:39 INFO     	 Epoch 3 | average valid loss: 0.0384
2024-04-30 09:53:30 INFO     	 Epoch 4 | average train loss: 0.0566
2024-04-30 09:53:30 INFO     	 Epoch 4 | average valid loss: 0.0369
2024-04-30 09:54:19 INFO     	 Epoch 5 | average train loss: 0.0554
2024-04-30 09:54:20 INFO     	 Epoch 5 | average valid loss: 0.0362
2024-04-30 10:02:47 INFO     	 valid MR: 24173.04 | MRR: 0.152 | H@1: 0.084 | H@3: 0.186 | H@10: 0.287
2024-04-30 10:02:47 INFO     	 Saving model at epoch 5 in ./logs\CHI\04_30\RotH_09_40_34
2024-04-30 10:03:36 INFO     	 Epoch 6 | average train loss: 0.0548
2024-04-30 10:03:36 INFO     	 Epoch 6 | average valid loss: 0.0359
2024-04-30 10:04:25 INFO     	 Epoch 7 | average train loss: 0.0540
2024-04-30 10:04:25 INFO     	 Epoch 7 | average valid loss: 0.0358
2024-04-30 10:05:14 INFO     	 Epoch 8 | average train loss: 0.0524
2024-04-30 10:05:14 INFO     	 Epoch 8 | average valid loss: 0.0353
2024-04-30 10:13:36 INFO     	 valid MR: 17328.92 | MRR: 0.195 | H@1: 0.133 | H@3: 0.233 | H@10: 0.317
