2024-04-29 20:38:16 INFO     Saving logs in: ./logs/CHI/04_29/TransH_20_38_16
2024-04-29 20:38:19 INFO     	 (140602, 26, 140602)
2024-04-29 20:38:20 INFO     Total number of parameters 4782158
2024-04-29 20:38:21 INFO     	 Start training
2024-04-29 20:38:58 INFO     	 Epoch 0 | average train loss: 0.2288
2024-04-29 20:38:59 INFO     	 Epoch 0 | average valid loss: 0.0968
2024-04-29 20:39:39 INFO     	 Epoch 1 | average train loss: 0.0874
2024-04-29 20:39:40 INFO     	 Epoch 1 | average valid loss: 0.0771
2024-04-29 20:40:18 INFO     	 Epoch 2 | average train loss: 0.0798
2024-04-29 20:40:20 INFO     	 Epoch 2 | average valid loss: 0.0696
2024-04-29 20:41:05 INFO     	 valid MR: 48535.09 | MRR: 0.141 | H@1: 0.085 | H@3: 0.162 | H@10: 0.263
2024-04-29 20:41:05 INFO     	 Saving model at epoch 2 in ./logs/CHI/04_29/TransH_20_38_16
2024-04-29 20:41:45 INFO     	 Epoch 3 | average train loss: 0.0737
2024-04-29 20:41:46 INFO     	 Epoch 3 | average valid loss: 0.0605
2024-04-29 20:42:24 INFO     	 Epoch 4 | average train loss: 0.0676
2024-04-29 20:42:26 INFO     	 Epoch 4 | average valid loss: 0.0525
2024-04-29 20:43:04 INFO     	 Epoch 5 | average train loss: 0.0626
2024-04-29 20:43:05 INFO     	 Epoch 5 | average valid loss: 0.0473
2024-04-29 20:43:52 INFO     	 valid MR: 26168.15 | MRR: 0.224 | H@1: 0.170 | H@3: 0.253 | H@10: 0.336
2024-04-29 20:43:52 INFO     	 Saving model at epoch 5 in ./logs/CHI/04_29/TransH_20_38_16
2024-04-29 20:44:31 INFO     	 Epoch 6 | average train loss: 0.0578
2024-04-29 20:44:32 INFO     	 Epoch 6 | average valid loss: 0.0435
2024-04-29 20:45:11 INFO     	 Epoch 7 | average train loss: 0.0522
2024-04-29 20:45:13 INFO     	 Epoch 7 | average valid loss: 0.0399
2024-04-29 20:45:52 INFO     	 Epoch 8 | average train loss: 0.0468
2024-04-29 20:45:54 INFO     	 Epoch 8 | average valid loss: 0.0365
2024-04-29 20:46:42 INFO     	 valid MR: 4772.60 | MRR: 0.321 | H@1: 0.262 | H@3: 0.349 | H@10: 0.440
2024-04-29 20:46:42 INFO     	 Saving model at epoch 8 in ./logs/CHI/04_29/TransH_20_38_16
2024-04-29 20:47:21 INFO     	 Epoch 9 | average train loss: 0.0430
2024-04-29 20:47:22 INFO     	 Epoch 9 | average valid loss: 0.0343
2024-04-29 20:48:02 INFO     	 Epoch 10 | average train loss: 0.0406
2024-04-29 20:48:03 INFO     	 Epoch 10 | average valid loss: 0.0327
2024-04-29 20:48:41 INFO     	 Epoch 11 | average train loss: 0.0391
2024-04-29 20:48:43 INFO     	 Epoch 11 | average valid loss: 0.0316
2024-04-29 20:49:33 INFO     	 valid MR: 3353.46 | MRR: 0.453 | H@1: 0.392 | H@3: 0.482 | H@10: 0.572
2024-04-29 20:49:33 INFO     	 Saving model at epoch 11 in ./logs/CHI/04_29/TransH_20_38_16
2024-04-29 20:50:11 INFO     	 Epoch 12 | average train loss: 0.0379
2024-04-29 20:50:12 INFO     	 Epoch 12 | average valid loss: 0.0309
2024-04-29 20:50:51 INFO     	 Epoch 13 | average train loss: 0.0370
2024-04-29 20:50:52 INFO     	 Epoch 13 | average valid loss: 0.0303
2024-04-29 20:51:31 INFO     	 Epoch 14 | average train loss: 0.0363
2024-04-29 20:51:33 INFO     	 Epoch 14 | average valid loss: 0.0299
2024-04-29 20:52:24 INFO     	 valid MR: 2964.51 | MRR: 0.498 | H@1: 0.438 | H@3: 0.530 | H@10: 0.614
2024-04-29 20:52:24 INFO     	 Saving model at epoch 14 in ./logs/CHI/04_29/TransH_20_38_16
2024-04-29 20:53:03 INFO     	 Epoch 15 | average train loss: 0.0357
2024-04-29 20:53:04 INFO     	 Epoch 15 | average valid loss: 0.0297
2024-04-29 20:53:43 INFO     	 Epoch 16 | average train loss: 0.0352
2024-04-29 20:53:44 INFO     	 Epoch 16 | average valid loss: 0.0295
2024-04-29 20:54:23 INFO     	 Epoch 17 | average train loss: 0.0348
