2024-04-22 14:08:41 INFO     Saving logs in: ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:08:42 INFO     	 (140602, 26, 140602)
2024-04-22 14:08:42 INFO     Total number of parameters 4781300
2024-04-22 14:08:44 INFO     	 Start training
2024-04-22 14:08:52 INFO     	 Epoch 0 | average train loss: 0.6925
2024-04-22 14:08:52 INFO     	 Epoch 0 | average valid loss: 0.6895
2024-04-22 14:09:00 INFO     	 Epoch 1 | average train loss: 0.5043
2024-04-22 14:09:00 INFO     	 Epoch 1 | average valid loss: 0.3682
2024-04-22 14:09:08 INFO     	 Epoch 2 | average train loss: 0.1922
2024-04-22 14:09:08 INFO     	 Epoch 2 | average valid loss: 0.1384
2024-04-22 14:09:50 INFO     	 valid MR: 53493.64 | MRR: 0.070 | H@1: 0.041 | H@3: 0.058 | H@10: 0.183
2024-04-22 14:09:50 INFO     	 Saving model at epoch 2 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:09:58 INFO     	 Epoch 3 | average train loss: 0.1045
2024-04-22 14:09:58 INFO     	 Epoch 3 | average valid loss: 0.0683
2024-04-22 14:10:06 INFO     	 Epoch 4 | average train loss: 0.0772
2024-04-22 14:10:06 INFO     	 Epoch 4 | average valid loss: 0.0442
2024-04-22 14:10:13 INFO     	 Epoch 5 | average train loss: 0.0671
2024-04-22 14:10:13 INFO     	 Epoch 5 | average valid loss: 0.0358
2024-04-22 14:10:56 INFO     	 valid MR: 32802.14 | MRR: 0.099 | H@1: 0.041 | H@3: 0.113 | H@10: 0.226
2024-04-22 14:10:56 INFO     	 Saving model at epoch 5 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:11:04 INFO     	 Epoch 6 | average train loss: 0.0627
2024-04-22 14:11:04 INFO     	 Epoch 6 | average valid loss: 0.0322
2024-04-22 14:11:12 INFO     	 Epoch 7 | average train loss: 0.0600
2024-04-22 14:11:12 INFO     	 Epoch 7 | average valid loss: 0.0305
2024-04-22 14:11:20 INFO     	 Epoch 8 | average train loss: 0.0579
2024-04-22 14:11:20 INFO     	 Epoch 8 | average valid loss: 0.0292
2024-04-22 14:12:02 INFO     	 valid MR: 28370.94 | MRR: 0.125 | H@1: 0.078 | H@3: 0.132 | H@10: 0.234
2024-04-22 14:12:02 INFO     	 Saving model at epoch 8 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:12:10 INFO     	 Epoch 9 | average train loss: 0.0563
2024-04-22 14:12:10 INFO     	 Epoch 9 | average valid loss: 0.0283
2024-04-22 14:12:18 INFO     	 Epoch 10 | average train loss: 0.0550
2024-04-22 14:12:18 INFO     	 Epoch 10 | average valid loss: 0.0276
2024-04-22 14:12:25 INFO     	 Epoch 11 | average train loss: 0.0538
2024-04-22 14:12:25 INFO     	 Epoch 11 | average valid loss: 0.0270
2024-04-22 14:13:09 INFO     	 valid MR: 23599.90 | MRR: 0.125 | H@1: 0.067 | H@3: 0.146 | H@10: 0.246
2024-04-22 14:13:16 INFO     	 Epoch 12 | average train loss: 0.0529
2024-04-22 14:13:17 INFO     	 Epoch 12 | average valid loss: 0.0266
2024-04-22 14:13:24 INFO     	 Epoch 13 | average train loss: 0.0522
2024-04-22 14:13:24 INFO     	 Epoch 13 | average valid loss: 0.0263
2024-04-22 14:13:32 INFO     	 Epoch 14 | average train loss: 0.0515
2024-04-22 14:13:32 INFO     	 Epoch 14 | average valid loss: 0.0260
2024-04-22 14:14:15 INFO     	 valid MR: 20474.39 | MRR: 0.142 | H@1: 0.084 | H@3: 0.167 | H@10: 0.258
2024-04-22 14:14:15 INFO     	 Saving model at epoch 14 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:14:23 INFO     	 Epoch 15 | average train loss: 0.0509
2024-04-22 14:14:23 INFO     	 Epoch 15 | average valid loss: 0.0257
2024-04-22 14:14:31 INFO     	 Epoch 16 | average train loss: 0.0503
2024-04-22 14:14:31 INFO     	 Epoch 16 | average valid loss: 0.0254
2024-04-22 14:14:38 INFO     	 Epoch 17 | average train loss: 0.0496
2024-04-22 14:14:38 INFO     	 Epoch 17 | average valid loss: 0.0251
2024-04-22 14:15:23 INFO     	 valid MR: 17546.78 | MRR: 0.164 | H@1: 0.111 | H@3: 0.186 | H@10: 0.279
2024-04-22 14:15:23 INFO     	 Saving model at epoch 17 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:15:31 INFO     	 Epoch 18 | average train loss: 0.0487
2024-04-22 14:15:31 INFO     	 Epoch 18 | average valid loss: 0.0248
2024-04-22 14:15:39 INFO     	 Epoch 19 | average train loss: 0.0477
2024-04-22 14:15:39 INFO     	 Epoch 19 | average valid loss: 0.0246
2024-04-22 14:15:46 INFO     	 Epoch 20 | average train loss: 0.0467
2024-04-22 14:15:46 INFO     	 Epoch 20 | average valid loss: 0.0242
2024-04-22 14:16:36 INFO     	 valid MR: 13959.04 | MRR: 0.189 | H@1: 0.139 | H@3: 0.210 | H@10: 0.298
2024-04-22 14:16:36 INFO     	 Saving model at epoch 20 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:16:43 INFO     	 Epoch 21 | average train loss: 0.0457
2024-04-22 14:16:44 INFO     	 Epoch 21 | average valid loss: 0.0239
2024-04-22 14:16:51 INFO     	 Epoch 22 | average train loss: 0.0447
2024-04-22 14:16:51 INFO     	 Epoch 22 | average valid loss: 0.0236
2024-04-22 14:16:59 INFO     	 Epoch 23 | average train loss: 0.0436
2024-04-22 14:16:59 INFO     	 Epoch 23 | average valid loss: 0.0233
2024-04-22 14:17:46 INFO     	 valid MR: 11445.47 | MRR: 0.207 | H@1: 0.160 | H@3: 0.228 | H@10: 0.312
2024-04-22 14:17:46 INFO     	 Saving model at epoch 23 in ./logs\CHI\04_22\DisMult_14_08_41
2024-04-22 14:17:54 INFO     	 Epoch 24 | average train loss: 0.0426
2024-04-22 14:17:54 INFO     	 Epoch 24 | average valid loss: 0.0232
